cn_0	中國	01.AI	李開復創辦的大模型公司，做基礎模型與企業應用	零一萬物，早期做 Yi 系列通用模型，後轉向為企業做行業大模型解決方案和私有化部署。	Yi 系列模型；萬知
cn_1	中國	4Paradigm (第四範式)	企業級 AI 決策平台，服務金融、零售、製造	賣企業 AI 決策平台，幫銀行、零售、製造企業做精準營銷、風控和供應鏈預測，按項目與訂閱收費。	先知 AI 平台；式說大模型
cn_10	中國	Anhui Zhongke Xingchi Autonomous Driving	中科星馳，自動駕駛		
cn_100	中國	China Coal Res Inst Co Ltd	煤炭科學研究總院		
cn_101	中國	China Datang Corp Sci Technology Research	大唐集團科研院，發電央企		電力智能運維
cn_103	中國	China Electronic Technology Group Corp	中國電子科技集團（中國電科），國防電子央企		雷達、電子系統
cn_105	中國	China Merchants Bank	招商銀行，零售銀行，自研金融 AI		招行 AI 客服與風控
cn_106	中國	China Mobile	中國移動，電信運營商，自研九天大模型		九天大模型
cn_107	中國	China National Petroleum Corp	中國石油集團，油氣央企		崑崙大模型
cn_108	中國	China North Vehicle Res Institute	中國北方車輛研究所，兵器集團		
cn_109	中國	China Nuclear Power Technology Res Institute	中廣核研究院		
cn_11	中國	Ant Group	支付寶母公司，金融科技，自研百靈大模型	螞蟻集團，支付寶母公司，收入來自數字支付、信貸科技、理財和保險科技；AI 用於風控和支付寶智能體。	百靈（Ling）大模型；支付寶 AI 助手
cn_110	中國	China Petro Chem Corp	中國石化，煉化央企		長城大模型
cn_111	中國	China Postal Savings Bank Co Ltd	郵儲銀行		
cn_114	中國	China Railway Tunnel Group Co Ltd	中鐵隧道局		
cn_116	中國	China South Ind Group Ordnance Equipment	兵器裝備集團，軍工央企		
cn_117	中國	China State Constr Eng Corp	中國建築，建築業央企		建築智能化
cn_118	中國	China Telecom Corp Ltd	中國電信，自研星辰大模型		星辰（TeleChat）大模型
cn_119	中國	China Unicom	中國聯通，自研元景大模型		元景大模型
cn_121	中國	CHN Energy Investment Group Co Ltd	國家能源集團，煤電央企		擎源電力大模型
cn_122	中國	Chongqing Changan Automobile Co Ltd	長安汽車，整車與智駕		深藍、阿維塔；天樞智駕
cn_123	中國	Chongqing Sailisi New Energy Vehicle	賽力斯，問界汽車製造商		問界系列
cn_124	中國	CISDI Information Technology Co Ltd	中冶賽迪信息技術		
cn_125	中國	CloudMinds (達闥科技)	雲端機器人與人形機器人		Cloud Ginger 人形機器人；海睿大模型
cn_126	中國	CloudWalk Technology (雲從科技)	計算機視覺與人機協同	為銀行、公安、機場提供人臉識別與人機協同系統，近年推出從容大模型做政企項目。	從容大模型；人臉識別
cn_127	中國	COMAC	中國商飛，民用客機制造		C919
cn_128	中國	CRCC Zhongtie Robot (中鐵機器人)	中國鐵建機器人業務		
cn_129	中國	CRRC Times Robot (中車時代機器人)	中車旗下，軌道交通巡檢機器人		巡檢機器人
cn_13	中國	Aqrose Technology (阿丘科技)	工業 AI 視覺檢測		AIDI 平台
cn_130	中國	CSSC Zhihai Innovation Res Inst Co Ltd	中國船舶集團智能創新研究院		
cn_131	中國	Cyborg Robotics (賽博機器人)	機器人初創		
cn_132	中國	Dataa Robotics (達達機器人)	疑為達闥科技相關實體，雲端機器人		
cn_133	中國	DataMesh (數邁科技)	數字孿生與混合現實		DataMesh Director
cn_134	中國	DeepBlue Technology	深蘭科技，AI 機器人與自動駕駛小車		熊貓智能公交；服務機器人
cn_135	中國	DeepGlint	格靈深瞳，計算機視覺		人臉識別；視頻分析
cn_136	中國	DeepMirror	深度鏡像類計算機視覺企業		
cn_137	中國	DeepRobotics	雲深處科技，四足與人形機器人	雲深處，賣四足機器人給電力巡檢、應急救援等工業場景，也在做人形機器人。	絕影系列四足機器人
cn_138	中國	DeepRoute.ai	元戎啟行，城市智駕方案	元戎啟行，為車企提供無高精地圖的城市智駕方案，與長城等車企量產合作。	DeepRoute IO 智駕系統
cn_139	中國	DeepSeek	深度求索，幻方量化孵化，基礎大模型	訓練並開放權重的通用大模型，同時通過 API 按調用量收費；另有免費的對話 App。背後由量化基金幻方出資，不依賴外部融資。	DeepSeek-V3/V4、R1 推理模型
cn_14	中國	Athena Eyes Technology Co Ltd	雅典娜/金融身份認證視覺 AI		
cn_140	中國	DeepWay (深向科技)	百度孵化，電動智能重卡		星辰重卡
cn_141	中國	DexForce (力策科技)	3D 視覺與具身智能		
cn_142	中國	DiDi	滴滴出行，網約車平台，佈局自動駕駛		滴滴自動駕駛 Robotaxi
cn_143	中國	Digital China	神州數碼，IT 分銷與雲服務		神州問學 AI 平台
cn_144	中國	DJI	大疆，消費與行業無人機全球龍頭	大疆，消費無人機全球龍頭，另賣行業無人機（農業、測繪、巡檢）、手持雲台和運動相機。	Mavic、Mini 系列；卓馭智駕（原大疆車載）
cn_145	中國	DOBOT (越疆科技)	協作機器人與人形機器人		CR 協作機器人；Atom 人形
cn_146	中國	Dongfeng Autonomous (東風自動駕駛)	東風汽車旗下自動駕駛業務		自動駕駛卡車與乘用車
cn_147	中國	Dreame Technology (追覓科技)	掃地機器人與高速電機		掃地機器人
cn_148	中國	DroidUp	人形機器人初創公司		
cn_149	中國	Ecovacs Robotics (科沃斯機器人)	掃地機器人龍頭	賣掃地機器人（科沃斯）和廚房小家電（添可）。	地寶掃地機器人
cn_15	中國	Autel Robotics Co Ltd	道通智能，消費及工業無人機		EVO 系列無人機
cn_150	中國	Emotibot (竹間智能)	情感計算與企業對話 AI		Bot Factory
cn_151	中國	EngineAI	眾擎機器人，人形機器人		SE01、PM01 人形機器人
cn_152	中國	Envision Energy	遠景能源，風電與儲能，AI 用於能源管理	遠景能源，賣風機和儲能系統，並提供能源物聯網平台 EnOS。	EnOS 智能物聯平台；風機
cn_153	中國	EVE Energy Co Ltd	億緯鋰能，鋰電池製造		動力與儲能電池
cn_154	中國	FABU Technology (法布科技)	自動駕駛與港口無人運輸		
cn_155	中國	FAW Nanjing Technology Dev Co Ltd	一汽南京研發中心，智能網聯		智能座艙與智駕
cn_158	中國	ForwardX Robotics (前向啟創)	倉儲物流 AMR 機器人		Flex 系列 AMR
cn_159	中國	Foxconn Industrial Internet	工業富聯，電子製造與 AI 服務器	工業富聯，富士康旗下，代工 AI 服務器和網絡設備，是英偉達服務器主要供應商。	AI 服務器；燈塔工廠
cn_16	中國	Autohome Inc	汽車之家，汽車資訊與交易平台		汽車之家大模型應用
